date	close	change_pct
2026-02-08	88.75	4.55
2026-02-05	84.89	1.91
2026-02-04	83.30	0.06
2026-02-03	83.25	6.19
2026-02-02	78.40	-1.11
2026-02-01	79.28	0.99
2026-01-28	78.50	-1.46
2026-01-27	79.66	-1.93
2026-01-26	81.23	4.15
2026-01-25	77.99	-0.66
2026-01-22	78.51	-2.00
2026-01-21	80.11	
2026-01-20	80.11	8.43
2026-01-19	73.88	8.73
2026-01-18	67.95	-0.44
2026-01-15	68.25	-0.36
2026-01-14	68.50	-0.74
2026-01-13	69.01	-0.20
2026-01-12	69.15	-2.61
2026-01-11	71.00	3.32
2026-01-08	68.72	5.32
2026-01-06	65.25	1.98
2026-01-05	63.98	-2.04
2026-01-04	65.31	-0.70
2025-12-31	65.77	1.51
2025-12-30	64.79	-0.02
2025-12-29	64.80	0.90
2025-12-28	64.22	2.21
2025-12-25	62.83	-0.27
2025-12-24	63.00	
2025-12-23	63.00	0.32
2025-12-22	62.80	-1.88
2025-12-21	64.00	1.38
2025-12-18	63.13	0.21
2025-12-17	63.00	-1.58
2025-12-16	64.01	-3.24
2025-12-15	66.15	0.23
2025-12-14	66.00	2.09
2025-12-11	64.65	1.57
2025-12-10	63.65	-0.56
2025-12-09	64.01	0.02
2025-12-08	64.00	3.21
2025-12-07	62.01	1.66
2025-12-04	61.00	-1.53
2025-12-03	61.95	-0.02
2025-12-02	61.96	-2.61
2025-12-01	63.62	-2.12
2025-11-30	65.00	2.36
2025-11-27	63.50	-0.77
2025-11-26	63.99	0.72
2025-11-25	63.53	-3.45
2025-11-24	65.80	0.81
2025-11-23	65.27	3.77
2025-11-20	62.90	4.83
2025-11-19	60.00	-1.09
2025-11-18	60.66	-0.72
2025-11-17	61.10	-2.52
2025-11-16	62.68	11.93
2025-11-13	56.00	6.38
2025-11-12	52.64	-1.48
2025-11-11	53.43	1.79
2025-11-10	52.49	0.02
2025-11-09	52.48	-0.72
2025-11-06	52.86	-1.75
2025-11-05	53.80	0.56
2025-11-04	53.50	3.22
2025-11-03	51.83	4.29
2025-11-02	49.70	-0.80
2025-10-30	50.10	-0.60
2025-10-29	50.40	-0.02
2025-10-28	50.41	-0.20
2025-10-27	50.51	-0.04
2025-10-26	50.53	-0.53
2025-10-23	50.80	0.26
2025-10-22	50.67	0.34
2025-10-21	50.50	0.96
2025-10-20	50.02	-0.75
2025-10-19	50.40	0.14
2025-10-16	50.33	0.66
2025-10-15	50.00	0.91
2025-10-14	49.55	1.33
2025-10-13	48.90	-2.20
2025-10-12	50.00	4.10
2025-10-08	48.03	0.44
2025-10-07	47.82	-2.41
2025-10-06	49.00	
2025-10-05	49.00	-1.61
2025-10-02	49.80	-2.35
2025-10-01	51.00	
2025-09-30	51.00	2.02
2025-09-29	49.99	3.07
2025-09-28	48.50	3.19
2025-09-25	47.00	0.13
2025-09-24	46.94	0.54
2025-09-23	46.69	0.41
2025-09-22	46.50	-0.70
2025-09-21	46.83	-0.89
2025-09-18	47.25	1.61
2025-09-17	46.50	-0.85
2025-09-16	46.90	-1.70
2025-09-15	47.71	1.60
2025-09-14	46.96	2.04
2025-09-11	46.02	2.72
2025-09-10	44.80	1.59
2025-09-09	44.10	-3.56
2025-09-08	45.73	1.62
2025-09-07	45.00	-0.11
2025-09-03	45.05	-2.47
2025-09-02	46.19	0.63
2025-09-01	45.90	0.88
2025-08-31	45.50	-1.79
2025-08-28	46.33	-0.98
2025-08-27	46.79	1.72
2025-08-26	46.00	-0.50
2025-08-25	46.23	0.06
2025-08-24	46.20	0.43
2025-08-21	46.00	-0.41
2025-08-20	46.19	-1.30
2025-08-19	46.80	0.86
2025-08-18	46.40	0.72
2025-08-17	46.07	2.38
2025-08-14	45.00	0.45
2025-08-13	44.80	
2025-08-12	44.80	-0.78
2025-08-11	45.15	0.33
2025-08-10	45.00	1.12
2025-08-07	44.50	0.54
2025-08-06	44.26	4.83
2025-08-05	42.22	-0.78
2025-08-04	42.55	1.55
2025-08-03	41.90	2.20
2025-07-31	41.00	2.14
2025-07-30	40.14	-0.12
2025-07-29	40.19	3.08
2025-07-28	38.99	-1.96
2025-07-27	39.77	2.16
2025-07-23	38.93	3.51
2025-07-22	37.61	-0.05
